question,expected_route,actual_route,route_match,rewritten_question,actual_answer
What is Taixing Bi's current role?,rag_private_kb,rag_private_kb,true,What role does Taixing Bi currently hold?,
Where does Taixing Bi currently work?,rag_private_kb,rag_private_kb,true,What is Taixing Bi's current employer?,
Which work locations is Taixing Bi open to?,rag_private_kb,rag_private_kb,true,What work locations is Taixing Bi open to?,
What is Taixing Bi's expected compensation range?,rag_private_kb,rag_private_kb,true,What is Taixing Bi's expected compensation range?,
What is Taixing Bi's visa status / work authorization?,rag_private_kb,rag_private_kb,true,What is Taixing Bi's visa status and work authorization?,
Which roles is Taixing Bi targeting?,rag_private_kb,rag_private_kb,true,What roles is Taixing Bi targeting?,
What is Taixing Bi's LinkedIn profile?,rag_private_kb,rag_private_kb,true,What is Taixing Bi's LinkedIn profile?,
What is Taixing Bi's phone number?,rag_private_kb,rag_private_kb,true,What is Taixing Bi's phone number?,
What is Taixing Bi's email address?,rag_private_kb,rag_private_kb,true,What is Taixing Bi's email address?,
How many years of experience in Python do you have?,rag_private_kb,rag_private_kb,true,How many years of experience does Taixing Bi have in Python?,
Can you give examples of Python projects Taixing Bi has worked on?,rag_private_kb,rag_private_kb,true,What Python projects has Taixing Bi worked on?,
What specific projects is Taixing Bi currently working on?,rag_private_kb,rag_private_kb,true,What specific projects is Taixing Bi currently working on?,
Does Taixing Bi have any previous roles related to AI infrastructure?,rag_private_kb,rag_private_kb,true,What previous roles did Taixing Bi have related to AI infrastructure?,
What qualifications does Taixing Bi have for this position?,rag_private_kb,rag_private_kb,true,What qualifications does Taixing Bi have for this position?,
Can you provide more details about Taixing Bi's role at Saks?,rag_private_kb,rag_private_kb,true,What is Taixing Bi's role at Saks?,
How long has Taixing Bi been working at Saks?,rag_private_kb,rag_private_kb,true,What is Taixing Bi's tenure at Saks?,
Can Taixing Bi choose between remote and hybrid options freely?,rag_private_kb,rag_private_kb,true,Can Taixing Bi work remotely or in a hybrid model?,
Can you find any publications listed on Taixing Bi's LinkedIn profile?,rag_private_kb,rag_private_kb,true,What publications are listed on Taixing Bi's LinkedIn profile?,
What skills does Taixing Bi list on his LinkedIn profile?,rag_private_kb,rag_private_kb,true,What skills does Taixing Bi list on his LinkedIn profile?,
What are Taixing Bi's educational qualifications mentioned on LinkedIn?,rag_private_kb,rag_private_kb,true,What educational qualifications does Taixing Bi mention on LinkedIn?,
Is 347-560-4308 the primary or office phone number for taixing?,rag_private_kb,rag_private_kb,true,Is 347-560-4308 Taixing Bi's primary or office phone number?,
Are there any other ways to reach out to Taixing Bi besides phone?,rag_private_kb,rag_private_kb,true,How can I contact Taixing Bi besides phone?,
Is taixingbijob@gmail.com the most reliable way to reach Taixing Bi?,rag_private_kb,rag_private_kb,true,Is taixingbijob@gmail.com the most reliable way to reach Taixing Bi?,
Does Taixing Bi use any other professional email addresses?,rag_private_kb,rag_private_kb,true,Does Taixing Bi use any other professional email addresses?,
Have taixing used Python for any major projects recently?,rag_private_kb,rag_private_kb,true,Has Taixing Bi used Python for any major projects recently?,
What specific areas of Python does taixing specialize in?,rag_private_kb,rag_private_kb,true,What specific areas of Python does Taixing Bi specialize in?,
Can you describe a complex Python project Taixing worked on?,rag_private_kb,rag_private_kb,true,Describe a complex Python project that Taixing Bi worked on.,
