question,expected_route,actual_route,route_match,rewritten_question,actual_answer
Hi?,greeting,greeting,true,Hi?,
Hi Taixing?,greeting,greeting,true,Hi Taixing?,
How are you?,greeting,greeting,true,How are you?,
Tell me a funny story?,greeting,help,false,Tell me a funny story.,
Hello?,greeting,greeting,true,Hello?,
Hey!,greeting,greeting,true,Hey!,
Hi there!,greeting,greeting,true,Hi there!,
Good morning,greeting,greeting,true,Good morning,
Good evening!,greeting,greeting,true,Good evening!,
How are you,greeting,greeting,true,How are you,
Hello Taixing Bi?,greeting,greeting,true,Hello Taixing Bi?,
Hey Taixing?,greeting,greeting,true,Hey Taixing?,
Howdy?,greeting,greeting,true,Howdy?,
Hi!,greeting,greeting,true,Hi!,
Hello there?,greeting,greeting,true,Hello there?,
Good afternoon!,greeting,greeting,true,Good afternoon!,
Good day?,greeting,greeting,true,Good day?,
How are you doing?,greeting,greeting,true,How are you doing?,
